chandler_dialogue,dialogues_since_last_chandler,intervening_dialogues
(imitating the characters) Tuna or egg salad? Decide!,10,"[""Rachel: Oh God Monica hi! Thank God! I just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!"", 'Waitress: Can I get you some coffee?', 'Monica: (pointing at Rachel) De-caff. (to All) Okay, everybody, this is Rachel, another Lincoln High survivor. (to Rachel) This is everybody, this is Chandler, and Phoebe, and Joey, and- you remember my brother Ross?', 'Rachel: Hi, sure!', 'Ross: Hi.', 'Monica: So you wanna tell us now, or are we waiting for four wet bridesmaids?', ""Rachel: Oh God... well, it started about a half hour before the wedding. I was in the room where we were keeping all the presents, and I was looking at this gravy boat. This really gorgeous Lamauge gravy boat. When all of a sudden- (to the waitress that brought her coffee)Sweet 'n' Lo?- I realized that I was more turned on by this gravy boat than by Barry! And then I got really freaked out, and that's when it hit me: how much Barry looks like Mr. Potato Head. Y'know, I mean, I always knew looked familiar, but... Anyway, I just had to get out of there, and I started wondering 'Why am I doing this, and who am I doing this for?'. (to Monica) So anyway I just didn't know where to go, and I know that you and I have kinda drifted apart, but you're the only person I knew who lived here in the city."", ""Monica: Who wasn't invited to the wedding."", ""Rachel: Ooh, I was kinda hoping that wouldn't be an issue... [Scene: Monica's Apartment, everyone is there and watching a Spanish Soap on TV and are trying to figure out what is going on.]"", ""Monica: Now I'm guessing that he bought her the big pipe organ, and she's really not happy about it.""]"
"(re TV) Ooh, she should not be wearing those pants.",3,"[""Ross: (in a deep voice) I'll have whatever Christine is having."", ""Rachel: (on phone) Daddy, I just... I can't marry him! I'm sorry. I just don't love him. Well, it matters to me!"", 'Phoebe: If I let go of my hair, my head will fall off.']"
"Please don't do that again, it's a horrible sound.",10,"[""Monica: Well, I guess we've established who's staying here with Monica..."", ""Rachel: Well, maybe that's my decision. Well, maybe I don't need your money. Wait!! Wait, I said maybe!!"", ""Monica: Just breathe, breathe.. that's it. Just try to think of nice calm things..."", 'Phoebe: (sings) Raindrops on roses and rabbits and kittens, (Rachel and Monica turn to look at her.) bluebells and sleighbells and- something with mittens... La la la la...something and noodles with string. These are a few...', ""Rachel: I'm all better now."", 'Phoebe: (grins and walks to the kitchen and says to Chandler and Joey.) I helped!', ""Monica: Okay, look, this is probably for the best, y'know? Independence. Taking control of your life. The whole, 'hat' thing."", ""Joey: (comforting her) And hey, you need anything, you can always come to Joey. Me and Chandler live across the hall. And he's away a lot."", ""Monica: Joey, stop hitting on her! It's her wedding day!"", ""Joey: What, like there's a rule or something?""]"
"Ooh, this is a Dear Diary moment.",7,"[""Paul: (over the intercom) It's, uh, it's Paul."", 'Monica: Oh God, is it 6:30? Buzz him in!', ""Joey: Who's Paul?"", 'Ross: Paul the Wine Guy, Paul?', ""Monica: Maybe. Joey: Wait. Your 'not a real date' tonight is with Paul the Wine Guy?"", 'Ross: He finally asked you out?', 'Monica: Yes!']"
"I'm sorry, I didn't catch your name. Paul, was it?",9,"['Monica: Rach, wait, I can cancel...', ""Rachel: Please, no, go, that'd be fine!"", 'Monica: (to Ross) Are, are you okay? I mean, do you want me to stay?', ""Ross: (choked voice) That'd be good..."", 'Monica: (horrified) Really?', ""Ross: (normal voice) No, go on! It's Paul the Wine Guy!"", ""Phoebe: What does that mean?  Does he sell it, drink it, or just complain a lot? (Chandler doesn't know.)"", 'Monica: Hi, come in! Paul, this is.. (They are all lined up next to the door.)... everybody, everybody, this is Paul.', 'All: Hey! Paul! Hi! The Wine Guy! Hey!']"
"(deadpan) Yes, and we're very excited about it.",10,"['Ross: A wandering?', 'Monica: Change! Okay, sit down. (Shows Paul in) Two seconds.', ""Phoebe: Ooh, I just pulled out four eyelashes. That can't be good."", 'Joey: Hey, Paul!', 'Paul: Yeah?', ""Joey: Here's a little tip, she really likes it when you rub her neck in the same spot over and over and over again until it starts to get a little red."", 'Monica: (yelling from the bedroom) Shut up, Joey!', ""Ross: So Rachel, what're you, uh... what're you up to tonight?"", 'Rachel: Well, I was kinda supposed to be headed for Aruba on my honeymoon, so nothing!', ""Ross: Right, you're not even getting your honeymoon, God.. No, no, although, Aruba, this time of year... talk about your- (thinks) -big lizards... Anyway, if you don't feel like being alone tonight, Joey and Chandler are coming over to help me put together my new furniture.""]"
It's a beautiful thing.,9,"[""Rachel: Well actually thanks, but I think I'm just gonna hang out here tonight. It's been kinda a long day."", 'Ross: Okay, sure.', 'Joey: Hey Pheebs, you wanna help?', ""Phoebe: Oh, I wish I could, but I don't want to."", '[Scene: The Subway, Phoebe is singing for change.]', 'Phoebe: (singing) Love is sweet as summer showers, love is a wondrous work of art, but your love oh your love, your love...is like a giant pigeon...crapping on my heart. La-la-la-la-la- (some guy gives her some change and to that guy) Thank you. (sings) La-la-la-la...ohhh!', ""[Scene: Ross's Apartment, the guys are there assembling furniture.]"", ""Ross: (squatting and reading the instructions) I'm supposed to attach a brackety thing to the side things, using a bunch of these little worm guys. I have no brackety thing, I see no whim guys whatsoever and- I cannot feel my legs."", ""Joey: I'm thinking we've got a bookcase here.""]"
I would have to say that is an 'L'-shaped bracket.,1,"[""Joey: (picking up a leftover part) What's this?""]"
I have no idea.,1,['Joey: Which goes where?']
All finished!,1,['Joey: Done with the bookcase!']
"Yes, please don't spoil all this fun.",2,"[""Ross: (clutching a beer can and sniffing) This was Carol's favorite beer. She always drank it out of the can, I should have known."", ""Joey: Hey-hey-hey-hey, if you're gonna start with that stuff we're outta here.""]"
"Oh, God.",2,"['Joey: Ross, let me ask you a question. She got the furniture, the stereo, the good TV- what did you get?', 'Ross: You guys.']"
Oh my God!,1,['Joey: You got screwed.']
You must stop! (Chandler hits what he is working on with a hammer and it collapses.),10,"['Paul: Well, you might try accidentally breaking something valuable of hers, say her-', 'Monica: -leg?', ""Paul: (laughing) That's one way! Me, I- I went for the watch."", ""Monica: You actually broke her watch? Wow! The worst thing I ever did was, I-I shredded by boyfriend's favorite bath towel."", 'Paul: Ooh, steer clear of you.', ""Monica: That's right. [Scene: Monica's Apartment, Rachel is talking on the phone and pacing.]"", ""Rachel: Barry, I'm sorry... I am so sorry... I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju- (She stops talking and dials the phone.) Hi, machine cut me off again... anyway...look, look, I know that some girl is going to be incredibly lucky to become Mrs. Barry Finkel, but it isn't me, it's not me. And not that I have any idea who me is right now, but you just have to give me a chance too... (The maching cuts her off again and she redials.)"", ""[Scene: Ross's Apartment; Ross is pacing while Joey and Chandler are working on some more furniture.]"", ""Ross: I'm divorced! I'm only 26 and I'm divorced!"", 'Joey: Shut up!']"
"Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento.  You, however have had the love of a woman for four years.  Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it! I don't think that was my point!",1,['Ross: That only took me an hour.']
"Stay out of my freezer! [Scene: A Restaurant, Monica and Paul are still eating.]",3,"[""Ross: You know what the scariest part is? What if there's only one woman for everybody, y'know? I mean what if you get one woman- and that's it? Unfortunately in my case, there was only one woman- for her..."", ""Joey: What are you talking about? 'One woman'? That's like saying there's only one flavor of ice cream for you. Lemme tell you something, Ross. There's lots of flavors out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!"", ""Ross: I honestly don't know if I'm hungry or horny.""]"
"Angela's the screamer, Andrea has cats.",10,"['Paul: Two years.', ""Monica: Wow! I'm-I'm-I'm glad you smashed her watch!"", 'Paul: So you still think you, um... might want that fifth date?', 'Monica: (pause)...Yeah. Yeah, I do.', ""[Scene: Monica's Apartment, Rachel is watching Joanne Loves Chaci.]"", 'Priest on TV: We are gathered here today to join Joanne Louise Cunningham and Charles, Chachi-Chachi-Chachi, Arcola in the bound of holy matrimony.', ""Rachel: Oh...see... but Joanne loved Chachi! That's the difference!"", ""[Scene: Ross's Apartment, they're all sitting around and talking.]"", ""Ross: (scornful) Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything to you?"", 'Joey: Great story! But, I uh, I gotta go, I got a date with Andrea--Angela--Andrea... Oh man, (looks to Chandler)']"
That is amazing.,4,"[""Joey: Right. Thanks. It's June. I'm outta here. (Exits.)"", ""Ross: Y'know, here's the thing. Even if I could get it together enough to- to ask a woman out,... who am I gonna ask? (He gazes out of the window.)"", ""[Scene: Monica's Apartment, Rachel is making coffee for Joey and Chandler.]"", ""Rachel: Isn't this amazing? I mean, I have never made coffee before in my entire life.""]"
"If can invade Poland, there isn't anything I can't do.",2,"['Joey: Congratulations.', ""Rachel: Y'know, I figure if I can make coffee, there isn't anything I can't do.""]"
"Hi, Paul, is it?",6,"[""Joey: Listen, while you're on a roll, if you feel like you gotta make like a Western omelet or something... (Joey and Chandler taste the coffee, grimace, and pour it into a plant pot.) Although actually I'm really not that hungry..."", 'Monica: (entering, to herself) Oh good, Lenny and Squigy are here.', 'All: Morning. Good morning.', ""Paul: (entering from Monica's room) Morning."", 'Joey: Morning, Paul.', 'Rachel: Hello, Paul.']"
"All right, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference...",8,"['Paul: Thank you! Thank you so much!', 'Monica: Stop!', ""Paul: No, I'm telling you last night was like umm, all my birthdays, both graduations, plus the barn raising scene in Witness."", ""Monica: We'll talk later."", 'Paul: Yeah. (They kiss) Thank you. (Exits)', ""Joey: That wasn't a real date?! What the hell do you do on a real date?"", 'Monica: Shut up, and put my table back.', 'All: Okayyy! (They do so.)']"
"'Look, Gippetto, I'm a real live boy.'",7,"['Rachel: So, like, you guys all have jobs?', ""Monica: Yeah, we all have jobs. See, that's how we buy stuff."", ""Joey: Yeah, I'm an actor."", 'Rachel: Wow! Would I have seen you in anything?', 'Joey: I doubt it. Mostly regional work.', ""Monica: Oh wait, wait, unless you happened to catch the Reruns' production of Pinocchio, at the little theater in the park."", 'Joey: Look, it was a job all right?']"
"You're right, I'm sorry. (Burst into song and dances out of the door.) ""Once I was a wooden boy, a little wooden boy...""",1,['Joey: I will not take this abuse. (Walks to the door and opens it to leave.)']
And yet you're surprisingly upbeat.,10,"[""Ross: I assume we're looking for an answer more sophisticated than 'to get you into bed'."", 'Monica: I hate men! I hate men!', ""Phoebe: Oh no, don't hate, you don't want to put that out into the universe."", 'Monica: Is it me? Is it like I have some sort of beacon that only dogs and men with severe emotional problems can hear?', ""Phoebe: All right, c'mere, gimme your feet. (She starts massaging them.)"", ""Monica: I just thought he was nice, y'know?"", ""Joey: (bursts out laughing again) I can't believe you didn't know it was a line!"", 'Rachel: Guess what?', 'Ross: You got a job?', ""Rachel: Are you kidding? I'm trained for nothing! I was laughed out of twelve interviews today.""]"
"Oh, how well you know me...",1,"['Rachel: You would be too if you found John and David boots on sale, fifty percent off!']"
"(as Rachel is cutting up her cards) Y'know, if you listen closely, you can hear a thousand retailers scream.",10,"['Monica: All right, you ready?', 'Rachel: No. No, no, I\'m not ready! How can I be ready? ""Hey, Rach! You ready to jump out the airplane without your parachute?"" Come on, I can\'t do this!', 'Monica: You can, I know you can!', ""Rachel: I don't think so."", 'Ross: Come on, you made coffee!  You can do anything! (Chandler slowly tries to hide the now dead plant from that morning when he and Joey poured their coffee into it.)', ""Ross: C'mon, cut. Cut, cut, cut,..."", 'All: Cut, cut, cut, cut, cut, cut, cut... (She cuts one of them and they cheer.)', ""Rachel: Y'know what? I think we can just leave it at that. It's kinda like a symbolic gesture..."", 'Monica: Rachel! That was a library card!', 'All: Cut, cut, cut, cut, cut, cut, cut..']"
"Did you make it, or are you just serving it?",10,"[""Phoebe: (sings) I can't believe what I'm hearing here..."", 'Monica: What? I-I said you had a-', 'Phoebe: (sings) What I said you had...', 'Monica: (to Phoebe) Would you stop?', 'Phoebe: Oh, was I doing it again?', 'All: Yes!', ""Monica: I said that you had a nice butt, it's just not a great butt."", ""Joey: Oh, you wouldn't know a great butt if it came up and bit ya."", ""Ross: There's an image."", 'Rachel: (walks up with a pot of coffee) Would anybody like more coffee?']"
"Kids, new dream... I'm in Las Vegas. (Rachel sits down to hear Chandler's dream.)",2,"[""Rachel: I'm just serving it."", ""All: Yeah. Yeah, I'll have a cup of coffee.""]"
"Okay, so, I'm in Las Vegas... I'm Liza Minelli-",2,"['Customer: (To Rachel) Ahh, miss?  More coffee?', ""Rachel: Ugh. (To another customer that's leaving.) Excuse me, could you give this to that guy over there? (Hands him the coffee pot.) Go ahead. (He does so.) Thank you. (To the gang.) Sorry. Okay, Las Vegas.""]"
"Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out.",6,"['Written by: Marta Kauffman & David Crane', ""Monica: What you guys don't understand is, for us, kissing is as important as any part of it."", ""Joey: Yeah, right!.......Y'serious?"", 'Phoebe: Oh, yeah!', 'Rachel: Everything you need to know is in that first kiss.', 'Monica: Absolutely.']"
"The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake.",1,"[""Ross: Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket.""]"
"Oh, I think this is the episode of Three's Company where there's some kind of misunderstanding.",10,"['Ross: You look great. I, uh... I hate that.', 'Carol: Sorry. You look good too.', ""Ross: Ah, well, in here, anyone who... stands erect... So what's new? Still, uh..."", 'Carol: A lesbian?', ""Ross: Well... you never know. How's, um.. how's the family?"", ""Carol: Marty's still totally paranoid. Oh, and, uh-"", 'Ross: Why- why are you here, Carol?', ""Carol: I'm pregnant."", 'Ross: Pregnant?!', ""[Scene: Monica and Rachel's, Chandler, Joey, Phoebe, and Monica are watching Three's Company.]""]"
"Oh, uh, that would be mine. See, I wrote a note to myself, and then I realised I didn't need it, so I balled it up and... (sees that Monica is glaring at him) ...now I wish I was dead.",4,"[""Phoebe:...Then I've already seen this one! (Turns off the TV.)"", 'Monica: (taking a drink from Joey) Are you through with that?', 'Joey: Yeah, sorry, the swallowing slowed me down.', 'Monica: Whose little ball of paper is this?!']"
"Yes, and we all know how cruel a parent can be about the flatness of a child's pillow.",2,"[""Phoebe: She's already fluffed that pillow... Monica, you know, you've already fluffed that- (Monica glares at her.) -but, it's fine!"", ""Monica: Look , I'm sorry, guys, I just don't wanna give them any more ammunition than they already have.""]"
"(looking out the window) Ew, ew, ew, ew ew ew ew ew!",3,"[""Phoebe: Monica- Hi! Um, Monica, you're scaring me. I mean, you're like, you're like all chaotic and twirly. And not-not in a good way."", ""Joey: Yeah, calm down. You don't see Ross getting all chaotic and twirly every time they come."", ""Monica: That's because as far as my parents are concerned, Ross can do no wrong. Y'see, he's the Prince. Apparently they had some big ceremony before I was born.""]"
Ugly Naked Guy got a Thighmaster!,1,['Monica: What?']
You don't get a lot of 'doy' these days...,10,"['All: Eeaagh!', 'Rachel: Has anybody seen my engagement ring?', ""Phoebe: Yeah, it's beautiful."", 'Rachel: Oh God, oh God, oh God oh God oh God oh God.... (Starts to look under the couch cushions.)', ""Phoebe: No, look, don't touch that!"", ""Rachel: Oh, like I wasn't dreading tomorrow enough, having to give it back to him... 'Hi Barry! Remember me? I'm the girl in the veil who stomped on your heart in front of your entire family!' Oh God and now I'm gonna have to return the ring, without the ring, which makes it so much harder..."", ""Monica: Easy Rach, we'll find it. (To all) Won't we!"", 'Chandler and Joey: Oh! Yeah!', ""Joey: Alright, when'd'ya have it on last?"", 'Phoebe: Doy! Probably right before she lost it!']"
...Dinah?,1,"['Rachel: I know I had it this morning, and I know I had it when I was in the kitchen with...']"
"Now, Monica, you know that's not how you look for an engagement ring in a lasagne...",5,"[""Rachel: (looks at the lasagne and realizes something) Ohhhhh, don't be mad..."", ""Monica: You didn't."", 'Rachel: Oh, I am sorry...', 'Monica: I gave you one job! (Starts to examin the lasagne through the bottom of the glass pan.)', 'Rachel: Oh, but look how straight those noodles are!']"
Boys? We're going in.,1,"[""Monica: (puts down the lasagne) I just... can't do it.""]"
"Kinda puts that whole pillow thing in perspective, huh, Mon?",6,"['Ross: (standing outside the door).....Hi.', 'Monica: Wow. That is not a happy hi.', ""Ross: Carol's pregnant."", 'Phoebe: (while everyone else is stunned) Ooh! I found it!', 'Monica: W-w-wh-... wha-... w-w-w-...', 'Ross: Yeah. Do that for another two hours, you might be where I am right about now. (He enters.)']"
"I mean presumably, the biggest part of your job is done.",4,"['Rachel: Well now, how-how do you fit into this whole thing?', ""Ross: Well, Carol says she and Susan want me to be involved, but if I'm not comfortable with it, I don't have to be involved.. basically it's entirely up to me."", 'Phoebe: She is so great! I miss her.', ""Monica: What does she mean by 'involved'?""]"
What does she do?,10,"[""Ross: (pulls his hand away) Okay! Okay. (To his parents) Look, I, uh- I realise you guys have been wondering what exactly happened between Carol and me, and, so, well, here's the deal. Carol's a lesbian. She's living with a woman named Susan. She's pregnant with my child, and she and Susan are going to raise the baby."", 'Mrs. Geller: (To Monica) And you knew about this?!', ""[Scene: Central Park, everyone's there.]"", 'Joey: Your folks are really that bad, huh?', ""Ross: Well, y'know, these people are pros. They know what they're doing, they take their time, they get the job done."", ""Monica: Boy, I know they say you can't change your parents,... boy, if you could- (To Ross) -I'd want yours."", 'Ross: Must pee. (Goes to pee.)', ""Phoebe: Y'know, it's even worse when you're twins."", ""Rachel: You're twins?"", ""Phoebe: Yeah. We don't speak. She's like this high-powered, driven career type.""]"
"Well, no, although I did have an imaginary friend, who... my parents actually preferred.",3,"[""Phoebe: She's a waitress."", 'Rachel: All right, you guys, I kinda gotta clean up now. (They all start to leave.)', ""Monica: Chandler, you're an only child, right? You don't have any of this.""]"
"I dunno, but.. I think it's about to attack the Enterprise.",10,"['Dr. Oberman: (entering) Knock knock!How are we today? Any nausea?', 'All: Yeah. Yeah. A little.', 'Dr. Oberman: Well, I was just wondering about the mother-to-be, but.. thanks for sharing. (To Carol) Uh, lie back..', ""Ross: You- uh- y'know what, I'm gonna go. I don't- I don't think I can be involved in this particular thing right now."", 'Ross: Oh my God.', 'Susan: Look at that.', 'Carol: I know.', ""[Scene: Monica and Rachel's apartment, everyone is watching the tape of the sonogram.  Rachel is on the phone.]"", ""Ross: Well? Isn't that amazing?"", 'Joey: What are we supposed to be seeing here?']"
Or 'You're such a nice guy' means 'I'm gonna be dating leather-wearing alcoholics and complaining about them to you'.,10,"['[Scene: Central Perk, everyone but Phoebe is there.]', 'Phoebe: (entering) Hi guys!', 'All: Hey, Pheebs! Hi!', ""Ross: Hey. Oh, oh, how'd it go?"", ""Phoebe: Um, not so good. He walked me to the subway and said 'We should do this again!'"", 'All: Ohh. Ouch.', ""Rachel: What? He said 'we should do it again', that's good, right?"", ""Monica: Uh, no. Loosely translated 'We should do this again' means 'You will never see me naked'."", 'Rachel: Since when?', ""Joey: Since always. It's like dating language. Y'know, like 'It's not you' means 'It is you'.""]"
"Yeah, it's like when you're a kid, and your parents put your dog to sleep, and they tell you it went off to live on some farm.",3,"[""Phoebe: Or, or, y'know, um, 'I think we should see other people' means 'Ha, ha, I already am'."", 'Rachel: And everybody knows this?', 'Joey: Yeah. Cushions the blow.']"
"""So how does it feel knowing you're about to die?""",4,"[""Ross: That's funny, that, no, because, uh, our parents actually did, uh, send our dog off to live on a farm."", 'Monica: Uh, Ross.', ""Ross: What? Wh- hello? The Millners' farm in Connecticut? The Millners, they had this unbelievable farm, they had horses, and, and rabbits that he could chase and it was- it w- .....Oh my God, Chi Chi!"", ""[Scene: Chandler and Joey's, Chandler is helping Joey rehearse for a part.]""]"
"Hey, that was really good!",1,"['Joey: ""Warden, in five minutes my pain will be over. But you\'ll have to live with the knowledge that you sent an honest man to die.""']"
"Okay. ""So. Whaddya want from me, Damone, huh?""",1,"[""Joey: Thanks! Let's keep going.""]"
"""Smoke away.""",1,"['Joey: ""I just wanna go back to my cell. \'Cause in my cell, I can smoke.""']"
I think this is probably why Damone smokes in his cell alone.,0,[]
Relax your hand!,1,['Joey: What?']
Not so much!,0,[]
Hey!,1,['Joey: Whoah!']
"Alright, now try taking a puff.",1,['Joey: Hey!']
Alright.. okay. No. Give it to me.,0,[]
"It's fine, it's fine. Look, do you wanna get this part, or not? Here.",1,"['Joey: No no no, I am not giving you a cigarette.']"
"Don't think of it as a cigarette. Think of it as the thing that's been missing from your hand. When you're holding it, you feel right. You feel complete.",0,[]
"Nah, not so much. Alright, now we smoke. (Takes a puff.) Oh.. my.. God. (He continues to smoke.)",1,"[""Joey: Y'miss it?""]"
"Oh, Satan's minions at work again...",10,"['Ross: Can I use.. either thumb?', ""Rachel: (carrying a tray of drinks) Alright, don't tell me, don't tell me! (Starts handing them out.) Decaf cappucino for Joey.. Coffee black.. Late.. And an iced tea. I'm getting pretty good at this!"", 'All: Yeah. Yeah, excellent.', 'Rachel: (leaving to serve others) Good for me!', ""Joey: Y'okay, Phoebe?"", ""Phoebe: Yeah- no- I'm just- it's, I haven't worked- It's my bank."", 'Monica: What did they do to you?', ""Phoebe: It's nothing, it's just- Okay. I'm going through my mail, and I open up their monthly, you know, STATEMENT-"", 'Ross: Easy.', ""Phoebe: - and there's five hundred extra dollars in my account.""]"
"I'm smoking. I'm smoking, I'm smoking.",10,"['Joey: What are you talking about? Keep it!', ""Phoebe: It's not mine, I didn't earn it, if I kept it, it would be like stealing."", 'Rachel: Yeah, but if you spent it, it would be like shopping!', ""Phoebe: Okay. Okay, let's say I bought a really great pair of shoes. Do you know what I'd hear, with every step I took? 'Not-mine. Not-mine. Not-mine.' And even if I was happy, okay, and, and skipping- 'Not-not-mine, not-not-mine, not-not-mine, not-not-mine'..."", ""Monica: We're with you. We got it."", ""Phoebe: Okay. I'd- just- I'd never be able to enjoy it. It would be like this giant karmic debt."", 'Rachel: Chandler, what are you doing?', 'Monica: (puling him up) Hey. Whaddya doing?', 'All: Oh! Oh, God!', 'Ross: What is this?!']"
And this- is my reward!,1,"[""Phoebe: Oh, I can't believe you! You've been so good, for three years!""]"
"Okay, so this time I won't quit!",1,"['Ross: Hold on a second, alright? Just think about what you went through the last time you quit.']"
"All right! I'm putting it out, I'm putting it out. (He drops it in Phoebe's coffee.)",1,['All: Ohhh! Put it out!']
What are you talking about? We love Schhteve! Schhteve was schhexy!.. Sorry.,8,"[""Phoebe: Oh, no! I- I can't drink this now!"", ""Monica: Alright. I'm gonna go change, I've got a date."", ""Rachel: This Alan again? How's it goin'?"", ""Monica: 'S'going pretty good, y'know? It's nice, and, we're having fun."", 'Joey: So when do we get to meet the guy?', ""Monica: Let's see, today's Monday... Never."", 'All: Oh, come on! Come on!', 'Monica: No. Not after what happened with Steve.']"
"Oh, yeah. I'd marry him just for his David Hasselhof impression alone. You know I'm gonna be doing that at parties, right? (Does the impression)",10,"['All: Yeah!', 'Rachel: And did you notice...? (She spreads her thumb and index finger.)', 'The Guys: (reluctantly) Yeah.', 'Joey: Know what was great? The way his smile was kinda crooked.', 'Phoebe: Yes, yes! Like the man in the shoe!', 'Ross: ...What shoe?', ""Phoebe: From the nursery rhyme. 'There was a crooked man, Who had a crooked smile, Who lived in a shoe, For a... while...'"", 'Ross: ...So I think Alan will become the yardstick against which all future boyfriends will be measured.', ""Rachel: What future boyfriends? Nono, I th- I think this could be, y'know, it."", 'Monica: Really!']"
"Yep, we sure showed those Hassidic jewellers a thing or two about softball..",10,"['Ross: The way he makes me feel about myself.', 'All: Yeah...', '[Scene: Central Perk, Monica is alone as Ross, Rachel, Chandler, and Joey enter dejectedly in softball gear.]', 'Monica: Hi.. how was the game?', 'Ross: Well..', 'All: WE WON!! Thank you! Yes!', 'Monica: Fantastic! I have one question: How is that possible?', 'Joey: Alan.', 'Ross: He was unbelievable. He was like that-that-that Bugs Bunny cartoon where Bugs is playing all the positions, right, but instead of Bugs it was first base-Alan, second base-Alan, third base-...', 'Rachel: I mean, it-it was like, it was like he made us into a team.']"
I personally could have a gallon of Alan.,5,"[""Monica: Can I ask you guys a question? D'you ever think that Alan is maybe.. sometimes.."", 'Ross: What?', 'Monica: ..I dunno, a little too Alan?', ""Rachel: Well, no. That's impossible. You can never be too Alan."", ""Ross: Yeah, it's his, uh, innate Alan-ness that-that-that we adore.""]"
"Well, maybe it's a contest, y'know? Like, collect all five?",10,"[""[Scene: Chandler's office, Chandler looks around, opens his desk drawer, takes a puff of a cigarette, sprays around some air freshener, and takes some breath spray. He types for a little while, opens the drawer again, and takes another drag of the cigarette.  While not paying attention, he sprays the breath spray around the room, takes a squirt of air freshener and gags.]"", '[Scene: A Street, Phoebe and Lizzie are at a hot dog vendor.]', ""Lizzie: Keep the change. (To Phoebe) Sure you don't wanna pretzel?"", ""Phoebe: No, I'm fine."", 'Lizzie: (leaves) See ya.', 'Phoebe: Huh!', '[Scene: Central Perk, Phoebe is telling everyone about her discovery.]', 'Ross: A thumb?!', 'All: Eww!', 'Phoebe: I know! I know, I opened it up and there it was, just floating in there, like this tiny little hitch-hiker!']"
"Hey, this is so unfair!",4,"['Phoebe: Does, um, anyone wanna see?', 'All: Nooo!', ""All: Oh, hey, don't do that! Cut it out!"", ""Rachel: It's worse than the thumb!""]"
